match_number,Draw every match,NO Elo underdog,NO draw every match,NO low-prob overpriced,NO lowest Elo probability,NO most overpriced outcome,NO overpriced draw,YES Elo favorite,YES Elo underdog,YES draw positive edge,YES favorite positive edge,"YES max edge, prob floor",YES max positive edge
1,-100.0,11.73184357541901,25.843325060299914,0.0,11.73184357541901,0.0,25.843325060299914,44.109523237660596,-100.0,0.0,44.109523237660596,44.109523237660596,44.109523237660596
2,-200.0,57.9603662611495,71.82872652015388,0.0,57.71724503527298,45.98540145985397,71.82872652015388,212.2459748986169,-200.0,0.0,44.109523237660596,-55.890476762339404,-55.890476762339404
3,63.636363636363626,82.09829729563226,-28.17127347984612,-100.0,81.85517606975574,45.98540145985397,-28.17127347984612,112.24597489861691,-300.0,0.0,-55.890476762339404,-155.8904767623394,-155.8904767623394
4,-36.363636363636374,-17.901702704367736,13.806956524886473,-100.0,123.83340607448832,-54.01459854014603,13.806956524886473,12.245974898616907,-182.8709288299155,0.0,-155.8904767623394,-255.8904767623394,-255.8904767623394
5,637.4970687094508,-11.516051764553932,-86.19304347511353,-100.0,130.21905701430214,-54.01459854014603,13.806956524886473,-87.75402510138309,-282.8709288299155,0.0,-155.8904767623394,-255.8904767623394,417.97022831074776
6,929.2272101675576,8.244427277362245,-186.19304347511354,-100.0,149.9795360562183,-54.01459854014603,13.806956524886473,-187.7540251013831,-382.8709288299155,0.0,-155.8904767623394,-255.8904767623394,317.97022831074776
7,829.2272101675576,-91.75557272263775,-160.10730517306814,-100.0,49.97953605621831,-54.01459854014603,13.806956524886473,-287.7540251013831,157.92650798033702,0.0,-155.8904767623394,-255.8904767623394,217.97022831074776
8,729.2272101675576,-191.75557272263774,-125.80901374577574,-100.0,-50.02046394378169,-54.01459854014603,13.806956524886473,-387.7540251013831,629.3550794089083,0.0,-155.8904767623394,-255.8904767623394,689.398799739319
9,629.2272101675576,-189.56123315355723,-121.66961737821575,-100.0,-47.826124374701166,-54.01459854014603,13.806956524886473,-381.68058397582604,529.3550794089083,-100.0,-155.8904767623394,-255.8904767623394,589.398799739319
10,890.9272001203356,-155.16768404391448,-221.66961737821575,-100.0,-147.82612437470118,-54.01459854014603,13.806956524886473,-481.68058397582604,429.3550794089083,-100.0,-155.8904767623394,-355.8904767623394,489.39879973931903
11,790.9272001203356,-255.16768404391448,-171.36274083861403,-200.0,-247.82612437470118,-154.01459854014604,64.11383306448818,-581.680583975826,671.9838031169124,-100.0,-255.8904767623394,-455.8904767623394,389.39879973931903
12,690.9272001203356,-229.0289314160238,-131.55148603260216,-200.0,-208.01486956868928,-154.01459854014604,103.92508787050008,-486.20900880071605,571.9838031169124,-100.0,-255.8904767623394,-555.8904767623394,289.39879973931903
13,2281.0680451907574,-226.44466271362933,-231.55148603260216,-200.0,-205.4306008662948,-154.01459854014604,103.92508787050008,-586.2090088007161,471.98380311691244,1490.140845070422,-255.8904767623394,-555.8904767623394,1879.539644809741
14,2610.559813265203,-208.65132458130816,-331.55148603260216,-200.0,-187.6372627339736,-154.01459854014604,103.92508787050008,-686.2090088007161,371.98380311691244,1490.140845070422,-255.8904767623394,-555.8904767623394,1779.539644809741
15,2970.5061528589167,-195.6392385665538,-431.55148603260216,-200.0,-174.62517671921927,-154.01459854014604,3.9250878705000787,-786.2090088007161,271.98380311691244,1490.140845070422,-255.8904767623394,-555.8904767623394,1679.539644809741
16,3232.9709132294365,-172.42751976307645,-531.5514860326022,-300.0,-151.4134579157419,-154.01459854014604,-96.07491212949992,-886.2090088007161,171.98380311691247,1490.140845070422,-355.8904767623394,-655.8904767623394,1579.539644809741
17,3132.9709132294365,-157.79244142910628,-504.162951000755,-300.0,-136.77837958177173,-154.01459854014604,-96.07491212949992,-836.0713826434052,71.98380311691247,1490.140845070422,-355.8904767623394,-655.8904767623394,1479.539644809741
18,3032.9709132294365,-257.79244142910625,-488.5003003983454,-300.0,-236.77837958177173,-154.01459854014604,-96.07491212949992,-936.0713826434052,1510.4453415784553,1390.140845070422,-355.8904767623394,-655.8904767623394,1379.539644809741
19,2932.9709132294365,-244.38161069477115,-461.76651176214176,-300.0,-223.3675488474366,-154.01459854014604,-69.34112349329628,-886.8609544923711,1410.4453415784553,1390.140845070422,-306.68004861130527,-606.6800486113052,1428.7500729607752
20,2832.9709132294365,-232.5664783801979,-438.2758421682889,-300.0,-211.55241653286336,-154.01459854014604,-69.34112349329628,-844.905118530226,1310.4453415784553,1290.140845070422,-306.68004861130527,-606.6800486113052,1328.7500729607752
21,3330.7789504263806,-224.4583702720898,-538.2758421682888,-300.0,-203.44430842475526,-154.01459854014604,-69.34112349329628,-944.905118530226,1210.4453415784553,1787.9488822673663,-306.68004861130527,-606.6800486113052,1228.7500729607752
22,3230.7789504263806,-203.47030104002795,-504.2774799260496,-300.0,-169.44594618251602,-154.01459854014604,-69.34112349329628,-871.4027810681796,1110.4453415784553,1787.9488822673663,-306.68004861130527,-706.6800486113052,1128.7500729607752
23,3130.7789504263806,-303.47030104002795,-461.1533992994842,-400.0,-269.445946182516,-254.01459854014604,-26.21704286673088,-971.4027810681796,1256.7844684431057,1787.9488822673663,-406.68004861130527,-806.6800486113052,1028.7500729607752
24,3030.7789504263806,-403.47030104002795,-436.93408319583006,-400.0,-369.445946182516,-254.01459854014604,-26.21704286673088,-1071.4027810681796,2226.9390463265777,1787.9488822673663,-406.68004861130527,-806.6800486113052,1998.9046508442473
25,3305.310785632373,-377.7719770176816,-536.93408319583,-500.0,-343.74762216016967,-254.01459854014604,-126.21704286673088,-1171.4027810681796,2126.9390463265777,1787.9488822673663,-506.68004861130527,-906.6800486113052,1898.9046508442473
26,3205.310785632373,-360.63023551045785,-506.2293669339849,-500.0,-326.6058806529459,-254.01459854014604,-126.21704286673088,-1111.4027810681796,2026.9390463265777,1787.9488822673663,-506.68004861130527,-906.6800486113052,1958.9046508442473
27,3105.310785632373,-351.483099106856,-485.60614696414075,-500.0,-317.4587442493441,-254.01459854014604,-126.21704286673088,-1077.8617171910373,1926.9390463265777,1687.9488822673663,-506.68004861130527,-906.6800486113052,1858.9046508442473
28,3005.310785632373,-320.45489164552754,-443.5634947121728,-500.0,-275.41609199737616,-254.01459854014604,-84.17439061476297,-966.0160114800302,1826.9390463265777,1687.9488822673663,-506.68004861130527,-1006.6800486113052,1758.9046508442473
29,2905.310785632373,-420.4548916455275,-415.76796755562333,-500.0,-247.62056484082666,-354.01459854014604,-84.17439061476297,-1066.01601148003,1892.6238769598617,1587.9488822673663,-606.6800486113052,-1106.6800486113052,1658.9046508442473
30,2805.310785632373,-520.4548916455275,-379.7135457869158,-500.0,-211.5661430721192,-354.01459854014604,-84.17439061476297,-1166.01601148003,2437.7851672824427,1587.9488822673663,-606.6800486113052,-561.5187582887245,2204.065941166828
31,2705.310785632373,-516.0855866581243,-371.2998934966022,-500.0,-207.19683808471598,-354.01459854014604,-84.17439061476297,-1153.007473057127,2337.7851672824427,1487.9488822673663,-606.6800486113052,-561.5187582887245,2104.065941166828
32,2605.310785632373,-484.06754419232067,-331.37995879257164,-500.0,-167.27690338068547,-354.01459854014604,-44.25445591073247,-1040.2792333833104,2237.7851672824427,1487.9488822673663,-606.6800486113052,-661.5187582887245,2004.065941166828
33,2505.310785632373,-459.1152690196435,-300.66100454420564,-500.0,-142.32462820800833,-354.01459854014604,-44.25445591073247,-964.4121107648443,2137.7851672824427,1487.9488822673663,-606.6800486113052,-661.5187582887245,2079.933063785294
34,2405.310785632373,-442.51985510592414,-275.6913791059441,-500.0,-125.72921429428898,-354.01459854014604,-44.25445591073247,-913.923021223836,2037.7851672824427,1387.9488822673663,-606.6800486113052,-661.5187582887245,1979.933063785294
35,3277.49550072824,-437.1392995747622,-375.69137910594407,-500.0,-120.34865876312708,-354.01459854014604,-44.25445591073247,-1013.923021223836,1937.7851672824427,2260.133597363233,-606.6800486113052,-661.5187582887245,2852.117778881161
36,3177.49550072824,-537.1392995747623,-348.92188829673216,-500.0,-220.34865876312708,-354.01459854014604,-44.25445591073247,-1113.923021223836,2694.9280244252996,2260.133597363233,-706.6800486113052,-661.5187582887245,2752.117778881161
37,3077.49550072824,-533.2826102663757,-340.8137801886241,-500.0,-216.4919694547405,-354.01459854014604,-44.25445591073247,-1101.6055371354796,2594.9280244252996,2160.133597363233,-706.6800486113052,-661.5187582887245,2652.117778881161
38,3488.568754561289,-520.0786229703787,-440.8137801886241,-500.0,-203.28798215874352,-354.01459854014604,-44.25445591073247,-1201.6055371354796,2494.9280244252996,2571.2068511962825,-706.6800486113052,-661.5187582887245,2552.117778881161
39,3847.167480675939,-509.11135831345246,-540.8137801886242,-500.0,-192.3207175018173,-354.01459854014604,-44.25445591073247,-1301.6055371354796,2394.9280244252996,2571.2068511962825,-706.6800486113052,-661.5187582887245,2452.117778881161
40,3747.167480675939,-609.1113583134525,-510.0378429610739,-500.0,-292.3207175018173,-354.01459854014604,-44.25445591073247,-1401.6055371354796,2935.839543029537,2571.2068511962825,-706.6800486113052,-661.5187582887245,2993.0292974853983
41,3647.167480675939,-596.2869882495187,-482.73939883094664,-500.0,-279.4963474378835,-354.01459854014604,-44.25445591073247,-1353.5913935617605,2835.839543029537,2571.2068511962825,-706.6800486113052,-661.5187582887245,2893.0292974853983
42,3547.167480675939,-593.6708467304577,-474.9033096864463,-500.0,-276.8802059188225,-354.01459854014604,-44.25445591073247,-1343.3243021625935,2735.839543029537,2471.2068511962825,-706.6800486113052,-661.5187582887245,2793.0292974853983
43,3447.167480675939,-549.2317518821188,-435.3576084692977,-500.0,-237.33450470167392,-354.01459854014604,-4.708754693583849,-1201.8108176597086,2635.839543029537,2471.2068511962825,-565.1665641084205,-520.0052737858397,2934.542781988283
44,3347.167480675939,-649.2317518821188,-406.5054663024342,-500.0,-208.48236253481042,-354.01459854014604,-4.708754693583849,-1301.8108176597086,3220.5105205875443,2371.2068511962825,-565.1665641084205,64.6657037721676,3519.2137595462905
45,3247.167480675939,-644.519709997302,-394.77362272701515,-500.0,-203.77032064999366,-354.01459854014604,-4.708754693583849,-1284.8517533322233,3120.5105205875443,2271.2068511962825,-565.1665641084205,64.6657037721676,3419.2137595462905
46,3955.066942076298,-638.8611046908921,-494.77362272701515,-500.0,-198.11171534358374,-354.01459854014604,-4.708754693583849,-1384.8517533322233,3020.5105205875443,2271.2068511962825,-565.1665641084205,64.6657037721676,4127.11322094665
47,3855.066942076298,-738.861104690892,-468.4001892310345,-500.0,-298.11171534358374,-354.01459854014604,-4.708754693583849,-1484.8517533322233,3754.6161739703057,2171.2068511962825,-565.1665641084205,64.6657037721676,4861.218874329411
48,3755.066942076298,-723.3987742761899,-437.6812349826685,-469.281045751634,-282.64938492888155,-354.01459854014604,26.010199554782165,-1426.5125555841585,3654.6161739703057,2171.2068511962825,-506.8273663603557,123.00490152023238,4919.558072077476
